,d',triangle,twoAFC,threeAFC,fourAFC,tetu,tets,duotrio,dualpair
0,0.0,0.33333342523987214,0.5,0.3333333333333334,0.25,0.33333333333333315,0.16666666666666663,0.5,0.5
1,0.05,0.33356309768597187,0.514101801652164,0.34754995529933846,0.2630374035666995,0.3337926145886979,0.17794899079916682,0.5002296565751695,0.5001989022383088
2,0.1,0.3342515412020159,0.5281859888985083,0.3619781254610302,0.27640644158960453,0.3351685462500875,0.18968639350124405,0.500917861363183,0.5007951119565206
3,0.15000000000000002,0.3353970371869647,0.5422350133116141,0.37659886465428727,0.2900928832909192,0.3374554053706925,0.20187271737044088,0.5020623243262464,0.5017871403369462
4,0.2,0.33699673083512965,0.5562314580091424,0.39139238254205777,0.30408113338631826,0.34064369813166084,0.2144998218901013,0.5036592446058543,0.503172513244331
5,0.25,0.3390466453498458,0.5701581024006669,0.4063381589059352,0.3183542817445908,0.3447202260210731,0.22755756994595844,0.505703334174378,0.5049477820185018
6,0.30000000000000004,0.34154170168276654,0.5839979857136818,0.42141503010643483,0.33289416269371586,0.3496681775710123,0.2410338297954473,0.5081878506389914,0.5071085384871058
7,0.35000000000000003,0.34447574364111005,0.5977344689084383,0.4366012800967429,0.3476814236459682,0.35546724475321856,0.25491449285599965,0.5111046388942214,0.5096494341024872
8,0.4,0.3478415681632025,0.6113512946052392,0.45187473532938466,0.3626956026167737,0.36209376289658146,0.26918350749746267,0.5144441812391093,0.512564203080742
9,0.45,0.3516309605229325,0.6248326446650054,0.46721286285671654,0.3779152141177607,0.36952087276684364,0.2838229288366927,0.5181956554993827,0.5158456893960458
10,0.5,0.35583473418665773,0.6381631950841185,0.482592870894904,0.3933178428150768,0.37771870324314183,0.2988129843422085,0.5223470006250659,0.5194858774596468
11,0.55,0.3604427750121052,0.6513281678875203,0.4979918110974801,0.408880244260808,0.3866545728398383,0.3141321548665267,0.5268849891704107,0.5234759262906689
12,0.6000000000000001,0.36544408944820905,0.6643133797295637,0.5133866817689821,0.42457845192939003,0.396293208157673,0.3297572705365027,0.5317953060066295,0.5278062069652428
13,0.65,0.3708268563679481,0.6771052869398673,0.5287545312417218,0.44038788972332027,0.4065969772074183,0.3456636207506568,0.5370626325692537,0.532466343111654
14,0.7000000000000001,0.37657848214331363,0.6896910267811551,0.5440725606395115,0.45628348905417476,0.41752613543342465,0.36182507735997904,0.5426707359015325,0.537445254202288
15,0.75,0.3826856585527601,0.7020584547174111,0.5593182252611134,0.4722398095567308,0.4290390821748088,0.3782142299478699,0.5486025617234845,0.542731201378317
16,0.8,0.3891344230969921,0.7141961775233342,0.5744693338331491,0.48823116245653814,0.4410926252392591,0.3948025319782369,0.554840330733272,0.5483118355303728
17,0.8500000000000001,0.3959102212888001,0.7260935820997008,0.5895041449069129,0.5042317355850635,0.4536422512288487,0.41156045645063444,0.561365637333602,0.5541742473479987
18,0.9,0.4029979704768982,0.7377408598934618,0.6044014597056572,0.5202157190218845,0.46664239924878137,0.42845765958975,0.5681595499708618,0.5603050190425136
19,0.9500000000000001,0.4103821247622943,0.7491290268558938,0.6191407107679433,0.5361574303404886,0.4800467356481972,0.44546315100513534,0.5752027122785356,0.5666902774420721
20,1.0,0.41804674056854974,0.7602499389065233,0.6337020457780796,0.5520314384430163,0.4938084274862258,0.46254546868722035,0.582475444228876,0.5733157481542059
21,1.05,0.42597554243421076,0.771096302904529,0.6480664060258349,0.5678126849895854,0.5078804124852234,0.47967285715820274,0.5899578425174586,0.5801668104899407
22,1.1,0.43415198860653065,0.7816616831625545,0.6622155989938309,0.5834766024592862,0.5222156633251057,0.4968134470719304,0.5976298794336524,0.5872285528446832
